rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe,raw_over_one,rect_over_one
-0.25,0.2,-0.05,0.7608939587058545,0.22541443277114406,1.0,1.0,-0.5354795259347105,0.0,False,False
-0.25,0.25,-0.0625,0.9651648757148038,0.2964331868995139,1.0,1.0,-0.6687316888152899,0.0,False,False
-0.25,0.3,-0.075,1.1699608471579788,0.3453391864141988,0.0,1.0,-0.82462166074378,1.0,True,False
-0.25,0.35,-0.0875,1.3750090808764028,0.4085492974501636,0.0,1.0,-0.9664597834262392,1.0,True,False
-0.25,0.4,-0.1,1.5807960890362407,0.4672439769452262,0.0,1.0,-1.1135521120910146,1.0,True,False
-0.25,0.45,-0.1125,1.7872002775417897,0.5444500783958398,0.0,1.0,-1.24275019914595,1.0,True,False
-0.25,0.5,-0.125,1.9933916063524826,0.6123921560989053,0.0,1.0,-1.3809994502535772,1.0,True,False
-0.25,0.55,-0.1375,2.2000013427620213,0.6495539544916783,0.0,1.0,-1.5504473882703431,1.0,True,False
-0.25,0.6,-0.15,2.4065030530093026,0.7364150808204974,0.0,1.0,-1.6700879721888051,1.0,True,False
-0.25,0.65,-0.1625,2.6128407755350307,0.7634450172140719,0.0,1.0,-1.8493957583209588,1.0,True,False
-0.25,0.7,-0.175,2.8190491079955406,0.8723921036003421,0.0,1.0,-1.9466570043951985,1.0,True,False
-0.25,0.75,-0.1875,3.0248847801817575,0.9237346686996877,0.0,1.0,-2.10115011148207,1.0,True,False
-0.25,0.8,-0.2,3.229989566077295,0.9617807817180184,0.0,1.0,-2.2682087843592766,1.0,True,False
-0.25,0.85,-0.2125,3.4344684380215296,1.048326210143414,0.0,0.0,-2.3861422278781155,0.0,True,True
-0.25,0.9,-0.225,3.637846902902254,1.1050950852291976,0.0,0.0,-2.5327518176730566,0.0,True,True
-0.25,0.95,-0.2375,3.839367114233594,1.2000420752187273,0.0,0.0,-2.6393250390148664,0.0,True,True
-0.2,0.2,-0.06324555320336758,0.6628962272148478,0.25943539180974284,1.0,1.0,-0.4034608354051049,0.0,False,False
-0.2,0.25,-0.07905694150420947,0.8181404472791222,0.3214654835566824,1.0,1.0,-0.49667496372243974,0.0,False,False
-0.2,0.3,-0.09486832980505136,0.9734334045071819,0.3897468146552803,0.6666666666666666,1.0,-0.5836865898519015,0.33333333333333337,False,False
-0.2,0.35,-0.11067971810589325,1.1288711874567783,0.43695731640743857,0.0,1.0,-0.6919138710493398,1.0,True,False
-0.2,0.4,-0.12649110640673517,1.2528564630875447,0.49952127421308373,0.0,1.0,-0.753335188874461,1.0,True,False
-0.2,0.45,-0.14230249470757705,1.4158249206712437,0.555515834949341,0.0,1.0,-0.8603090857219027,1.0,True,False
-0.2,0.5,-0.15811388300841894,1.5787929152923157,0.6222399780409433,0.0,1.0,-0.9565529372513724,1.0,True,False
-0.2,0.55,-0.17392527130926086,1.7417618343692298,0.6822349613692177,0.0,1.0,-1.0595268730000122,1.0,True,False
-0.2,0.6,-0.18973665961010272,1.904726454280717,0.7637620376800939,0.0,1.0,-1.1409644166006232,1.0,True,False
-0.2,0.65,-0.20554804791094464,2.06535363223516,0.840716035018116,0.0,1.0,-1.2246375972170442,1.0,True,False
-0.2,0.7,-0.2213594362117865,2.2207205747226144,0.9180893808279293,0.0,1.0,-1.302631193894685,1.0,True,False
-0.2,0.75,-0.23717082451262841,2.378307020612084,1.015219447902402,0.0,0.0,-1.363087572709682,0.0,True,True
-0.2,0.8,-0.25298221281347033,2.534030264503196,1.0599693693907337,0.0,0.0,-1.474060895112462,0.0,True,True
-0.2,0.85,-0.2687936011143122,2.685628477586839,1.0845620253502715,0.0,0.0,-1.6010664522365674,0.0,True,True
-0.2,0.9,-0.2846049894151541,2.8404067534165325,1.1897226876411728,0.0,0.0,-1.6506840657753596,0.0,True,True
