scenario_id,label,lo,hi,raw_rho,indicator_corr,prevalence,delta_vs_raw,delta_vs_zero_sign
centered_wide,"Centered wide [-1.0, 1.0]",-1.0,1.0,0.5993439871890817,0.22085914042718466,0.682648,-0.378484846761897,-0.18679768397042953
centered_narrow,"Centered narrow [-0.35, 0.35]",-0.35,0.35,0.5993439871890817,0.08376871213139125,0.273924,-0.5155752750576904,-0.32388811226622294
shifted_mid,"Shifted mid [0.25, 1.25]",0.25,1.25,0.5993439871890817,0.1858841456783892,0.295604,-0.4134598415106925,-0.22177267871922499
tail_band,"Tail band [1.0, 2.0]",1.0,2.0,0.5993439871890817,0.23746569593984448,0.135808,-0.3618782912492372,-0.1701911284577697
