rho_active,inactive_count,theta_raw,theta_bin,safe_raw,safe_bin,mean_cross_raw,mean_cross_bin,delta_theta,delta_safe
0.0,1,1.3889804245347244,0.9367464295654788,0.0,1.0,0.345468353657699,0.2314702569849974,-0.45223399496924555,1.0
0.0,2,1.3998998439628214,0.9394034551913897,0.0,1.0,0.32889717824473774,0.2216155184970136,-0.46049638877143173,1.0
0.0,3,1.4193766552696447,0.9572524910968605,0.0,1.0,0.3308182865963213,0.22227469344040265,-0.46212416417278424,1.0
0.0,4,1.4291622698071098,0.9597201972525179,0.0,1.0,0.33397785336258023,0.22393941035558335,-0.4694420725545919,1.0
0.0,5,1.4425404835507327,0.9679281604611537,0.0,1.0,0.3365086886713936,0.22561610665922793,-0.474612323089579,1.0
0.0,6,1.4425404835507327,0.9679281604611537,0.0,1.0,0.3326402783476127,0.2233080529387978,-0.474612323089579,1.0
0.0,7,1.4425404835507327,0.9679281604611537,0.0,1.0,0.32759337496192037,0.22080638317252815,-0.474612323089579,1.0
0.0,8,1.4425404835507327,0.9679281604611537,0.0,1.0,0.3240990871383817,0.2186667324736764,-0.474612323089579,1.0
0.0,9,1.4834729800154776,0.9946679890847335,0.0,0.8,0.3238057699470289,0.2184162471452618,-0.48880499093074403,0.8
0.0,10,1.5107868217936031,1.0069300379372452,0.0,0.4,0.32489484736150215,0.21925348225935148,-0.5038567838563579,0.4
0.2,1,1.188092141627993,0.9201897777958259,0.0,1.0,0.46915087250473986,0.31466242389528687,-0.26790236383216715,1.0
0.2,2,1.191184715286241,0.9205626697062644,0.0,1.0,0.45198667954877214,0.303718602992444,-0.2706220455799765,1.0
0.2,3,1.201175096015897,0.9344362208150379,0.0,1.0,0.45321671398461677,0.30561930235407575,-0.26673887520085904,1.0
0.2,4,1.201760202626404,0.9344362208150379,0.0,1.0,0.4562819992478578,0.30754653798092546,-0.2673239818113662,1.0
0.2,5,1.2054629434833708,0.9367849978199019,0.0,1.0,0.45849804807389055,0.30862749078064844,-0.2686779456634689,1.0
0.2,6,1.2054629434833708,0.9367849978199019,0.0,1.0,0.4546234815590375,0.3064275272174888,-0.2686779456634689,1.0
0.2,7,1.2054629434833708,0.9367849978199019,0.0,1.0,0.45028336259027457,0.3040430037508863,-0.2686779456634689,1.0
0.2,8,1.2054629434833708,0.937715480894113,0.0,1.0,0.4472370433169458,0.3021275243719816,-0.26774746258925775,1.0
0.2,9,1.2214227347809958,0.9493249700967418,0.0,1.0,0.44672706577192206,0.301818476717,-0.27209776468425406,1.0
0.2,10,1.2303004506751951,0.9503804869454033,0.0,1.0,0.44729149608351937,0.3016013187148421,-0.2799199637297918,1.0
0.6,1,0.9429069741740477,0.8235096975919388,1.0,1.0,0.6558319052364315,0.45520756057158185,-0.11939727658210886,0.0
0.6,2,0.9429069741740477,0.8235893323178587,1.0,1.0,0.6462563236394442,0.44964272725156834,-0.11931764185618898,0.0
0.6,3,0.9451436038646988,0.8251521719660435,1.0,1.0,0.646449609233216,0.4493621097154413,-0.11999143189865524,0.0
0.6,4,0.9457358520754591,0.8304595922786634,1.0,1.0,0.6480029875519242,0.4511212514209224,-0.11527625979679568,0.0
0.6,5,0.9468890177949902,0.8309628439080268,1.0,1.0,0.6492126987736279,0.4513368012104291,-0.11592617388696347,0.0
0.6,6,0.9468890177949902,0.8317313658482435,1.0,1.0,0.6467869579820261,0.45001061865682895,-0.11515765194674676,0.0
0.6,7,0.9468890177949902,0.8317313658482435,1.0,1.0,0.6447025817953315,0.4484599405360627,-0.11515765194674676,0.0
0.6,8,0.9479964762452109,0.8340327965869762,1.0,1.0,0.6430232405269491,0.44705813733470745,-0.11396367965823473,0.0
0.6,9,0.9512836424876149,0.8340327965869762,1.0,1.0,0.642745843846817,0.44635511167361264,-0.11725084590063872,0.0
0.6,10,0.9539907722733437,0.8340327965869762,1.0,1.0,0.6428807362380764,0.44617709611853884,-0.11995797568636757,0.0
