support_size,n,seed_count,rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe
25,5000,3,0.0,0.0,0.0,0.1268751889270782,0.07542356972935187,1.0,1.0,-0.051451619197726325,0.0
25,5000,3,0.0,0.05,0.010000000000000002,0.33293227554343546,0.2530658246647917,1.0,1.0,-0.07986645087864375,0.0
25,5000,3,0.0,0.1,0.020000000000000004,0.5789484889134527,0.38447826535990437,1.0,1.0,-0.19447022355354837,0.0
25,5000,3,0.0,0.15,0.03,0.8243287393012935,0.5126887586191075,1.0,1.0,-0.311639980682186,0.0
25,5000,3,0.0,0.2,0.04000000000000001,1.0690780995995197,0.6772954016722105,0.0,1.0,-0.39178269792730924,1.0
25,5000,3,0.0,0.25,0.05,1.313127484086366,0.8444753461111324,0.0,1.0,-0.46865213797523364,1.0
25,5000,3,0.0,0.3,0.06,1.5557934952325378,1.0089967433757707,0.0,0.3333333333333333,-0.5467967518567671,0.3333333333333333
25,5000,3,0.0,0.35,0.06999999999999999,1.8001565282016923,1.1503900069860766,0.0,0.0,-0.6497665212156156,0.0
25,5000,3,0.0,0.4,0.08000000000000002,2.0434215410669263,1.3126123743162796,0.0,0.0,-0.7308091667506467,0.0
25,5000,3,0.0,0.45,0.09000000000000001,2.2852102976259956,1.474315340701436,0.0,0.0,-0.8108949569245596,0.0
25,5000,3,0.0,0.5,0.1,2.525624013985713,1.623146949829475,0.0,0.0,-0.9024770641562381,0.0
25,5000,3,0.0,0.55,0.11000000000000001,2.7671085121735306,1.8047977839569562,0.0,0.0,-0.9623107282165744,0.0
25,5000,3,0.0,0.6,0.12,3.008837735579334,1.9361115978798529,0.0,0.0,-1.0727261376994812,0.0
25,5000,3,0.0,0.65,0.13,3.249033439494488,2.1212378002254098,0.0,0.0,-1.1277956392690784,0.0
25,5000,3,0.0,0.7,0.13999999999999999,3.4892370223431164,2.247218658544,0.0,0.0,-1.2420183637991165,0.0
25,5000,3,0.0,0.75,0.15000000000000002,3.7284986376945377,2.408744874671442,0.0,0.0,-1.3197537630230958,0.0
25,5000,3,0.0,0.8,0.16000000000000003,3.9681592176038243,2.5722525313295583,0.0,0.0,-1.395906686274266,0.0
25,5000,3,0.0,0.85,0.17,4.207800111768289,2.763634624631475,0.0,0.0,-1.4441654871368135,0.0
25,5000,3,0.0,0.9,0.18000000000000002,4.448209713238767,2.8964308564172483,0.0,0.0,-1.5517788568215187,0.0
25,5000,3,0.0,0.95,0.19,4.710594037574815,3.0572711301325213,0.0,0.0,-1.6533229074422935,0.0
25,5000,3,0.025,0.0,0.0,0.011065861740330578,0.017535750460611035,1.0,1.0,0.006469888720280457,0.0
25,5000,3,0.025,0.05,0.012649110640673518,0.21428521734444506,0.15662670851857227,1.0,1.0,-0.057658508825872784,0.0
25,5000,3,0.025,0.1,0.025298221281347035,0.3652522846369812,0.334521565348932,1.0,1.0,-0.030730719288049158,0.0
25,5000,3,0.025,0.15,0.03794733192202055,0.574972583655018,0.45280505219910383,1.0,1.0,-0.12216753145591419,0.0
25,5000,3,0.025,0.2,0.05059644256269407,0.7811123784690523,0.6178891357234688,1.0,1.0,-0.16322324274558353,0.0
25,5000,3,0.025,0.25,0.06324555320336758,0.9847081112889177,0.7366377540021668,0.6666666666666666,1.0,-0.24807035728675086,0.33333333333333337
25,5000,3,0.025,0.3,0.0758946638440411,1.1865601595386466,0.8772487604356627,0.0,1.0,-0.3093113991029839,1.0
25,5000,3,0.025,0.35,0.08854377448471461,1.38657970371058,1.041089411955843,0.0,0.3333333333333333,-0.3454902917547371,0.3333333333333333
