rho_active,inactive_count,seed,theta_raw,theta_bin,safe_raw,safe_bin,mean_cross_raw,mean_cross_bin
0.0,1,3301,1.3663616483232965,0.923041081002185,0.0,1.0,0.3296873488477288,0.22086090573718062
0.0,1,3302,1.3170245952219581,0.8907618268247743,0.0,1.0,0.31351819491967814,0.20961538908694516
0.0,1,3303,1.43206393813062,0.974465175125818,0.0,1.0,0.36992854954808374,0.25206923776722345
0.0,1,3304,1.4126130435520607,0.9479398187400931,0.0,1.0,0.3494912719663029,0.2350278294582384
0.0,1,3305,1.4168388974456865,0.9475242461345234,0.0,1.0,0.3647164030067015,0.23977792287539945
0.0,2,3301,1.4209587454637809,0.9363262091317397,0.0,1.0,0.33571111026604517,0.22235221722742984
0.0,2,3302,1.3170245952219581,0.8907618268247743,0.0,1.0,0.3043429923871948,0.20553838577148292
0.0,2,3303,1.43206393813062,0.974465175125818,0.0,1.0,0.3322100797597111,0.22768491622127035
0.0,2,3304,1.4126130435520607,0.9479398187400931,0.0,1.0,0.33847759212438266,0.22532618998714188
0.0,2,3305,1.4168388974456865,0.9475242461345234,0.0,1.0,0.33374411668635495,0.22717588327774318
0.0,3,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.34097326364061603,0.22684832911800143
0.0,3,3302,1.3170245952219581,0.8907618268247743,0.0,1.0,0.3050960335947717,0.20523242671231787
0.0,3,3303,1.43206393813062,0.974465175125818,0.0,1.0,0.31705713791495765,0.21735311054248566
0.0,3,3304,1.4126130435520607,0.9479398187400931,0.0,1.0,0.3410051611489598,0.22702382734877555
0.0,3,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.34995983668230113,0.23491577348043272
0.0,4,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.339349592178361,0.2256829240107017
0.0,4,3302,1.365483553127505,0.9031003576030612,0.0,1.0,0.3097908901647373,0.20747801916133057
0.0,4,3303,1.4325330529123992,0.974465175125818,0.0,1.0,0.33028484100574973,0.22508475887852392
0.0,4,3304,1.4126130435520607,0.9479398187400931,0.0,1.0,0.3338928186592828,0.22387061564412408
0.0,4,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.35657112480477027,0.2375807340832365
0.0,5,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.3383896440016355,0.22380278067110723
0.0,5,3302,1.365483553127505,0.9031003576030612,0.0,1.0,0.30806242806245926,0.20663439132196665
0.0,5,3303,1.4789750685148209,0.9881378466088423,0.0,1.0,0.34053593600761,0.2310823335074455
0.0,5,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.3380713261726284,0.22737998117171337
0.0,5,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.35748410911263495,0.239181046623907
0.0,6,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.33724703907568115,0.22272413747669847
0.0,6,3302,1.365483553127505,0.9031003576030612,0.0,1.0,0.3060017206233705,0.20617046858709828
0.0,6,3303,1.4789750685148209,0.9881378466088423,0.0,1.0,0.32854529746045696,0.22547775242071685
0.0,6,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.33748989939593455,0.2260857728880685
0.0,6,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.35391743518262,0.236082133321407
0.0,7,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.3247315799179779,0.2161775252791693
0.0,7,3302,1.365483553127505,0.9031003576030612,0.0,1.0,0.3043944989261918,0.20645411339186684
0.0,7,3303,1.4789750685148209,0.9881378466088423,0.0,1.0,0.33193717308453,0.22765335238056125
0.0,7,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.33537745915030787,0.22436167330504223
0.0,7,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.3415261637305943,0.22938525150600123
0.0,8,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.31149359471278765,0.20850673652750082
0.0,8,3302,1.365483553127505,0.9031003576030612,0.0,1.0,0.30626029926619386,0.20734630253200376
0.0,8,3303,1.4789750685148209,0.9881378466088423,0.0,1.0,0.326461343576526,0.2238285844387291
0.0,8,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.33599625074310374,0.22466713552789866
0.0,8,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.3402839473932973,0.22898490334224972
0.0,9,3301,1.4569815731280384,0.9859102541217971,0.0,1.0,0.3080347788360348,0.20690775933548033
0.0,9,3302,1.5701460354512289,1.0367995007209598,0.0,0.0,0.3136394951503219,0.2115583454991815
0.0,9,3303,1.4789750685148209,0.9881378466088423,0.0,1.0,0.3280052944493593,0.22494573435079054
0.0,9,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.3321159434387262,0.2219067513340064
0.0,9,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.33723333786070236,0.22676264520685022
0.0,10,3301,1.5580155484542453,1.0112645589187426,0.0,0.0,0.31466764227613375,0.210480963981646
0.0,10,3302,1.5701460354512289,1.0367995007209598,0.0,0.0,0.31464109220438413,0.21164484016086882
0.0,10,3303,1.5145103020792425,1.0240937860744552,0.0,0.0,0.33423539105031697,0.2288987478050563
0.0,10,3304,1.4330620966677534,0.975306963300248,0.0,1.0,0.331189575594502,0.22185678334766604
0.0,10,3305,1.478200126315546,0.9871853806718203,0.0,1.0,0.32974053568217376,0.2233860760015202
0.2,1,3301,1.1734472338205628,0.921497096443679,0.0,1.0,0.4650485523046134,0.31289090376385353
0.2,1,3302,1.1351956069873474,0.8872917317852215,0.0,1.0,0.45495470101283364,0.30923899821915957
0.2,1,3303,1.2305153465340914,0.9615611024593225,0.0,1.0,0.4857601448812878,0.3287962165862922
0.2,1,3304,1.1890941870551641,0.9075038195205442,0.0,1.0,0.4718028677585159,0.31190428268450465
0.2,1,3305,1.2122083337427996,0.9230951387703618,0.0,1.0,0.4681880965664489,0.31048171822262444
0.2,2,3301,1.1889101021118016,0.9233615559958728,0.0,1.0,0.4675050331233892,0.31274187132606995
0.2,2,3302,1.1351956069873474,0.8872917317852215,0.0,1.0,0.44337026271651336,0.29805214156200843
0.2,2,3303,1.2305153465340914,0.9615611024593225,0.0,1.0,0.4511445705452731,0.3057982303588018
0.2,2,3304,1.1890941870551641,0.9075038195205442,0.0,1.0,0.458240995483218,0.3072485971191492
0.2,2,3305,1.2122083337427996,0.9230951387703618,0.0,1.0,0.4396725358754671,0.2947521745961905
0.2,3,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.4711508088451679,0.31666723069640373
0.2,3,3302,1.1351956069873474,0.8872917317852215,0.0,1.0,0.44612953651385584,0.30278816287372107
0.2,3,3303,1.2305153465340914,0.9615611024593225,0.0,1.0,0.43434312759640337,0.295686857845423
0.2,3,3304,1.1890941870551641,0.9248896588936605,0.0,1.0,0.4613442084581316,0.3107354040523858
0.2,3,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4531158885095254,0.30221885630244505
0.2,4,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.4698569914893925,0.3162729921410297
0.2,4,3302,1.1381211400398834,0.8872917317852215,0.0,1.0,0.4508944491025087,0.30410421746453303
0.2,4,3303,1.2305153465340914,0.9615611024593225,0.0,1.0,0.44587944316386047,0.30306162512471135
0.2,4,3304,1.1890941870551641,0.9248896588936605,0.0,1.0,0.45721600327146217,0.30968013182893495
0.2,4,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4575631092120649,0.3046137233454182
0.2,5,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.4695820198279795,0.3146035897284472
0.2,5,3302,1.1381211400398834,0.8872917317852215,0.0,1.0,0.44905878339181465,0.3037703494016135
0.2,5,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.4549127032270772,0.3067998817219245
0.2,5,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.4603522728707719,0.31193537571945734
0.2,5,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.45858446105180944,0.30602825733179967
0.2,6,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.4685453240701054,0.31393745353278174
0.2,6,3302,1.1381211400398834,0.8872917317852215,0.0,1.0,0.4479072057214646,0.30265236274630397
0.2,6,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.44200828544541865,0.29875827849738873
0.2,6,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.45955428667196446,0.31101233609964735
0.2,6,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4551023058862343,0.3057772052113222
0.2,7,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.4570801761769065,0.3062165882532019
0.2,7,3302,1.1381211400398834,0.8872917317852215,0.0,1.0,0.4478909101050691,0.3031640880001681
0.2,7,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.4446457886954808,0.30021190313408624
0.2,7,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.45770412361891893,0.31056871256374824
0.2,7,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4440958143549976,0.3000537268032269
0.2,8,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.44368255532609424,0.2978757929448303
0.2,8,3302,1.1381211400398834,0.8919441471562766,0.0,1.0,0.44944966577110346,0.304824470178088
0.2,8,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.4406876730003986,0.2973741809853493
0.2,8,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.458637052425793,0.3113104911204652
0.2,8,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4437282700613397,0.2992526866311751
0.2,9,3301,1.2076704141139405,0.9561998857593257,0.0,1.0,0.44122891579576,0.2954772202775835
0.2,9,3302,1.2179200965280081,0.949991593169421,0.0,1.0,0.4544967300772778,0.308116221544132
0.2,9,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.44196489498111174,0.2978949525956438
0.2,9,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.45538086035532704,0.30915410350194067
0.2,9,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.4405639276501336,0.2984498856657001
0.2,10,3301,1.2520589935849369,0.9614774700026335,0.0,1.0,0.4467108747204026,0.29850591809997984
0.2,10,3302,1.2179200965280081,0.949991593169421,0.0,1.0,0.45552633354174626,0.308368798888215
0.2,10,3303,1.2429254300178347,0.9615611024593225,0.0,1.0,0.4466255065313696,0.29969547856361556
0.2,10,3304,1.1951978078562548,0.936633543917981,0.0,1.0,0.45438973002403743,0.3076917657655122
0.2,10,3305,1.2433999253889407,0.9422387251776589,0.0,1.0,0.43320503560004087,0.2937446322568878
0.6,1,3301,0.9426088095237877,0.8230338295194513,1.0,1.0,0.656071718749885,0.45590465469730695
0.6,1,3302,0.9225082491893354,0.8132211345037657,1.0,1.0,0.6497901470090015,0.45741732086327264
0.6,1,3303,0.9544190857214104,0.8400548029395386,1.0,1.0,0.6639508883475896,0.4618075611912652
0.6,1,3304,0.9449567141498397,0.8220348880719153,1.0,1.0,0.6578744279411872,0.45271558652178623
0.6,1,3305,0.9500420122858653,0.8192038329250235,1.0,1.0,0.6514723441344944,0.44819267958427794
