support_size,n,seed_count,rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
25,5000,3,0.0,0.0,0.0,6201,0.014340205813950964,0.08012581468489788,1.0,1.0
25,5000,3,0.0,0.0,0.0,6202,0.2757396617728989,0.1055819093399348,1.0,1.0
25,5000,3,0.0,0.0,0.0,6203,0.09054569919438471,0.04056298516322293,1.0,1.0
25,5000,3,0.0,0.05,0.010000000000000002,6201,0.3878513910083674,0.2906525377849153,1.0,1.0
25,5000,3,0.0,0.05,0.010000000000000002,6202,0.3279626276540596,0.23312923523422208,1.0,1.0
25,5000,3,0.0,0.05,0.010000000000000002,6203,0.28298280796787945,0.2354157009752379,1.0,1.0
25,5000,3,0.0,0.1,0.020000000000000004,6201,0.6333160283353028,0.40764902208842646,1.0,1.0
25,5000,3,0.0,0.1,0.020000000000000004,6202,0.5721505813457791,0.46172273913555717,1.0,1.0
25,5000,3,0.0,0.1,0.020000000000000004,6203,0.5313788570592761,0.28406303485572953,1.0,1.0
25,5000,3,0.0,0.15,0.03,6201,0.8772590408117672,0.5511000450135493,1.0,1.0
25,5000,3,0.0,0.15,0.03,6202,0.8170318006632977,0.5990557493201482,1.0,1.0
25,5000,3,0.0,0.15,0.03,6203,0.7786953764288157,0.38791048152362506,1.0,1.0
25,5000,3,0.0,0.2,0.04000000000000001,6201,1.1213435377125838,0.7290253064978766,0.0,1.0
25,5000,3,0.0,0.2,0.04000000000000001,6202,1.0620406214308828,0.7493150244263348,0.0,1.0
25,5000,3,0.0,0.2,0.04000000000000001,6203,1.023850139655092,0.5535458740924197,0.0,1.0
25,5000,3,0.0,0.25,0.05,6201,1.3645386589200907,0.9417921037339569,0.0,1.0
25,5000,3,0.0,0.25,0.05,6202,1.305871943565299,0.8918338001393071,0.0,1.0
25,5000,3,0.0,0.25,0.05,6203,1.2689718497737084,0.699800134460133,0.0,1.0
25,5000,3,0.0,0.3,0.06,6201,1.605000039752198,1.049607330703632,0.0,0.0
25,5000,3,0.0,0.3,0.06,6202,1.5477329591344977,1.1017834238940638,0.0,0.0
25,5000,3,0.0,0.3,0.06,6203,1.5146474868109174,0.875599475529616,0.0,1.0
25,5000,3,0.0,0.35,0.06999999999999999,6201,1.846220082823952,1.155453040711681,0.0,0.0
25,5000,3,0.0,0.35,0.06999999999999999,6202,1.7917396829239132,1.221529784941471,0.0,0.0
25,5000,3,0.0,0.35,0.06999999999999999,6203,1.762509818857212,1.0741871953050777,0.0,0.0
25,5000,3,0.0,0.4,0.08000000000000002,6201,2.085571722360485,1.2666046190783486,0.0,0.0
25,5000,3,0.0,0.4,0.08000000000000002,6202,2.0359644619223944,1.407844753774369,0.0,0.0
25,5000,3,0.0,0.4,0.08000000000000002,6203,2.008728438917899,1.263387750096121,0.0,0.0
25,5000,3,0.0,0.45,0.09000000000000001,6201,2.324728273363628,1.5317269629297452,0.0,0.0
25,5000,3,0.0,0.45,0.09000000000000001,6202,2.2773839081698233,1.4969251678226023,0.0,0.0
25,5000,3,0.0,0.45,0.09000000000000001,6203,2.253518711344535,1.3942938913519605,0.0,0.0
25,5000,3,0.0,0.5,0.1,6201,2.5605640694303986,1.637777694180122,0.0,0.0
25,5000,3,0.0,0.5,0.1,6202,2.5188043745280977,1.6765811974335398,0.0,0.0
25,5000,3,0.0,0.5,0.1,6203,2.4975035979986435,1.5550819578747639,0.0,0.0
25,5000,3,0.0,0.55,0.11000000000000001,6201,2.7985630453327657,1.777771239803002,0.0,0.0
25,5000,3,0.0,0.55,0.11000000000000001,6202,2.75914060895969,1.9027929722585042,0.0,0.0
25,5000,3,0.0,0.55,0.11000000000000001,6203,2.7436218822281355,1.733829139809363,0.0,0.0
25,5000,3,0.0,0.6,0.12,6201,3.0345739776642873,1.956841048745428,0.0,0.0
25,5000,3,0.0,0.6,0.12,6202,3.0020316489734684,1.9365176457922764,0.0,0.0
25,5000,3,0.0,0.6,0.12,6203,2.9899075801002475,1.9149760991018547,0.0,0.0
25,5000,3,0.0,0.65,0.13,6201,3.2693711238719203,2.109235547127848,0.0,0.0
25,5000,3,0.0,0.65,0.13,6202,3.2430273153520988,2.1814120599403077,0.0,0.0
25,5000,3,0.0,0.65,0.13,6203,3.234701879259446,2.073065793608074,0.0,0.0
25,5000,3,0.0,0.7,0.13999999999999999,6201,3.503281597477804,2.2776116601164733,0.0,0.0
25,5000,3,0.0,0.7,0.13999999999999999,6202,3.4832765215425665,2.2542345993613706,0.0,0.0
25,5000,3,0.0,0.7,0.13999999999999999,6203,3.4811529480089773,2.2098097161541554,0.0,0.0
25,5000,3,0.0,0.75,0.15000000000000002,6201,3.737422117020742,2.387858139769138,0.0,0.0
25,5000,3,0.0,0.75,0.15000000000000002,6202,3.7215829926667388,2.453641420529471,0.0,0.0
25,5000,3,0.0,0.75,0.15000000000000002,6203,3.726490803396133,2.3847350637157163,0.0,0.0
25,5000,3,0.0,0.8,0.16000000000000003,6201,3.9696320504143463,2.5016149594505253,0.0,0.0
25,5000,3,0.0,0.8,0.16000000000000003,6202,3.9632853190393043,2.6470412599344195,0.0,0.0
25,5000,3,0.0,0.8,0.16000000000000003,6203,3.971560283357821,2.56810137460373,0.0,0.0
25,5000,3,0.0,0.85,0.17,6201,4.201363209523958,2.727333767989424,0.0,0.0
25,5000,3,0.0,0.85,0.17,6202,4.203872911140669,2.866094551855914,0.0,0.0
25,5000,3,0.0,0.85,0.17,6203,4.218164214640238,2.697475554049087,0.0,0.0
25,5000,3,0.0,0.9,0.18000000000000002,6201,4.4336225830139755,2.8891952119088473,0.0,0.0
25,5000,3,0.0,0.9,0.18000000000000002,6202,4.4452046393023785,2.9307394233732103,0.0,0.0
25,5000,3,0.0,0.9,0.18000000000000002,6203,4.465801917399946,2.8693579339696877,0.0,0.0
25,5000,3,0.0,0.95,0.19,6201,4.676674606427749,2.985542299197399,0.0,0.0
25,5000,3,0.0,0.95,0.19,6202,4.714222330968536,3.0453954484502477,0.0,0.0
25,5000,3,0.0,0.95,0.19,6203,4.740885175328159,3.1408756427499176,0.0,0.0
25,5000,3,0.025,0.0,0.0,6201,0.02428379149120234,0.013775359584282863,1.0,1.0
25,5000,3,0.025,0.0,0.0,6202,0.0002305865707839111,0.019854168761093173,1.0,1.0
25,5000,3,0.025,0.0,0.0,6203,0.00868320715900548,0.01897772303645707,1.0,1.0
25,5000,3,0.025,0.05,0.012649110640673518,6201,0.23293768922842142,0.18898016753844737,1.0,1.0
25,5000,3,0.025,0.05,0.012649110640673518,6202,0.2069781245975884,0.12194016761197422,1.0,1.0
25,5000,3,0.025,0.05,0.012649110640673518,6203,0.20293983820732536,0.15895979040529523,1.0,1.0
25,5000,3,0.025,0.1,0.025298221281347035,6201,0.40293723819443106,0.37052249096907397,1.0,1.0
25,5000,3,0.025,0.1,0.025298221281347035,6202,0.3587426045567103,0.30307467240077146,1.0,1.0
25,5000,3,0.025,0.1,0.025298221281347035,6203,0.3340770111598022,0.32996753267695067,1.0,1.0
25,5000,3,0.025,0.15,0.03794733192202055,6201,0.6166983921412417,0.5215543995164373,1.0,1.0
25,5000,3,0.025,0.15,0.03794733192202055,6202,0.5666885001241894,0.4105136579435246,1.0,1.0
25,5000,3,0.025,0.15,0.03794733192202055,6203,0.5415308586996233,0.4263470991373495,1.0,1.0
25,5000,3,0.025,0.2,0.05059644256269407,6201,0.8234413617861303,0.6937052531281109,1.0,1.0
25,5000,3,0.025,0.2,0.05059644256269407,6202,0.7737323629253349,0.6017595211777405,1.0,1.0
25,5000,3,0.025,0.2,0.05059644256269407,6203,0.7461634106956919,0.558202632864555,1.0,1.0
25,5000,3,0.025,0.25,0.06324555320336758,6201,1.0276794046176523,0.8343924860827576,0.0,1.0
25,5000,3,0.025,0.25,0.06324555320336758,6202,0.9756996639463326,0.7149283507572235,1.0,1.0
25,5000,3,0.025,0.25,0.06324555320336758,6203,0.9507452653027681,0.660592425166519,1.0,1.0
25,5000,3,0.025,0.3,0.0758946638440411,6201,1.227855816238344,0.9720308464295454,0.0,1.0
25,5000,3,0.025,0.3,0.0758946638440411,6202,1.1781939088066544,0.818137430242514,0.0,1.0
25,5000,3,0.025,0.3,0.0758946638440411,6203,1.1536307535709418,0.8415780046349288,0.0,1.0
25,5000,3,0.025,0.35,0.08854377448471461,6201,1.4258859335307428,1.085956160102965,0.0,0.0
