rho_active,rho_cross,seed,active_corr_raw,active_corr_bin,cross_corr_raw,cross_corr_bin,theta_raw,theta_bin,ic_rate_raw,ic_rate_bin,inv_raw,inv_bin
-0.3,-0.09486832980505142,1201,-0.2988529895168879,-0.19168303077895196,-0.09919107103024778,-0.0664691053087761,3.834774473737478,0.6259918019334785,0.0,1.0,9.751554403261029,2.397506884647118
-0.3,-0.09486832980505142,1202,-0.29937164980466663,-0.19776713431083856,-0.09501821401367276,-0.055999030866409324,3.7266868233486674,0.5515867249279891,0.0,1.0,9.9355540879111,2.5052992740480655
-0.3,-0.09486832980505142,1203,-0.30093325994391856,-0.19454383354179108,-0.09398428988243844,-0.05768669661821637,3.869914632289852,0.5538826785839345,0.0,1.0,10.517229810716813,2.423064826784278
-0.3,-0.09486832980505142,1204,-0.301340791316903,-0.19838439923270226,-0.09230493124255948,-0.05409996263433332,3.848309675845819,0.5344941543141116,0.0,1.0,10.483157391587294,2.4823210839853114
-0.3,-0.09486832980505142,1205,-0.30081045820897484,-0.1933510792471681,-0.0922531817040002,-0.057258950125391825,3.7932412345355115,0.5446680246296203,0.0,1.0,10.398192940017488,2.396548856092831
-0.25,-0.15,1201,-0.24706698286209983,-0.15686359850634116,-0.15667715273651556,-0.09846788907478024,2.421243399818914,0.7439382762873955,0.0,1.0,3.908696933442522,1.9331424732788465
-0.25,-0.15,1202,-0.24850746797330145,-0.16030915875387267,-0.15034062761002828,-0.09274438138699251,2.360721530861234,0.7152632365901805,0.0,1.0,4.0144220011991445,1.9597805506736075
-0.25,-0.15,1203,-0.2520993491741769,-0.1618792645593051,-0.14945894382749308,-0.09235595852505993,2.4529595043405794,0.7182056858236129,0.0,1.0,4.208447987716033,1.9953282801274024
-0.25,-0.15,1204,-0.2530966784166158,-0.16499895619315727,-0.14680323567310055,-0.09485426674362618,2.4397337783828807,0.7510721798400863,0.0,1.0,4.18107549472136,1.9901822275946017
-0.25,-0.15,1205,-0.25197499250816013,-0.16323971264882672,-0.1464984401972064,-0.09193861493735538,2.404715338935822,0.7207050364348622,0.0,1.0,4.154422005189015,1.9849916422372378
-0.2,-0.18973665961010272,1201,-0.1952552214618858,-0.12748531324064838,-0.1978369060107748,-0.12779190406099666,1.9103683061086303,0.8274206365802231,0.0,1.0,2.471962420824237,1.652588566352016
-0.2,-0.18973665961010272,1202,-0.19772075871239844,-0.12366616710834973,-0.19028656451528547,-0.11783821598856625,1.8695458711101973,0.7484829915910103,0.0,1.0,2.5270649100709184,1.6377516740093052
-0.2,-0.18973665961010272,1203,-0.20292190136598912,-0.12618932722889611,-0.19006323708157485,-0.12448162228363549,1.9429846856989623,0.8014586175812812,0.0,1.0,2.5658022383813357,1.6479235619376649
-0.2,-0.18973665961010272,1204,-0.2044874335898259,-0.1319422161247987,-0.18678533342209486,-0.11926929673226544,1.9332504491839908,0.7894086572699626,0.0,1.0,2.617347964080672,1.6679103938011681
-0.2,-0.18973665961010272,1205,-0.20297065666911418,-0.13155038812343575,-0.18626977214043758,-0.11217883067734902,1.905321351552943,0.7405621823466622,0.0,1.0,2.605215598449356,1.7066401278409125
-0.15,-0.22248595461286988,1201,-0.14935694103225264,-0.09992341023806665,-0.22455851015843997,-0.14179475868485647,1.6272930164757593,0.8099886738746949,0.0,1.0,1.8331442831805569,1.434977932643929
-0.15,-0.22248595461286988,1202,-0.1498032038884304,-0.09081552113852644,-0.2190177393809728,-0.143949621976666,1.5918355490360088,0.7913845113857605,0.0,1.0,1.8501370944200934,1.3847475521570818
-0.15,-0.22248595461286988,1203,-0.1493936817121488,-0.09333529064095629,-0.2284947302531646,-0.14521814487597393,1.6576457778154285,0.8079202511212102,0.0,1.0,1.852038080890437,1.4076401023359684
-0.15,-0.22248595461286988,1204,-0.15511564801561226,-0.10154461202381405,-0.22033351933651796,-0.136131095728893,1.6489012538859853,0.7831111092308657,0.0,1.0,1.8902862716967739,1.445244975315659
-0.15,-0.22248595461286988,1205,-0.15032564423398564,-0.0994709339436451,-0.22366797867151822,-0.13809983563664072,1.6291541770271483,0.7874839797669317,0.0,1.0,1.8625621581637124,1.45206244013228
-0.1,-0.25099800796022265,1201,-0.09608301363255317,-0.06255491994960613,-0.25630010723791535,-0.16533400977016452,1.4412884041310485,0.8150329724264301,0.0,1.0,1.4622086233275609,1.268480682345359
-0.1,-0.25099800796022265,1202,-0.10442711870463067,-0.06228970365063713,-0.24253374641594613,-0.15555694689669047,1.4128166686939505,0.7645753332646865,0.0,1.0,1.4868949578096293,1.2444275777898337
-0.1,-0.25099800796022265,1203,-0.10337818697560525,-0.06342622111048891,-0.25385537194241914,-0.16339583663141954,1.4721693731534788,0.8068441056447636,0.0,1.0,1.4840093228346662,1.2553061658406657
-0.1,-0.25099800796022265,1204,-0.10570234011514744,-0.06809724455355283,-0.24922179507978798,-0.16401174264179108,1.4602986975064973,0.8242131301062889,0.0,1.0,1.493168482553863,1.2840436769820736
-0.1,-0.25099800796022265,1205,-0.09666753743765022,-0.0638697075286737,-0.2559642478651407,-0.1648793331510413,1.4417946721159411,0.8158073641161252,0.0,1.0,1.4182416904459996,1.250936387794165
-0.05,-0.2765863337187866,1201,-0.045352322606553336,-0.027401972438424165,-0.2821698004407832,-0.179739650451495,1.307067787786888,0.7838971490870469,0.0,1.0,1.197615581591486,1.1212190180311106
-0.05,-0.2765863337187866,1202,-0.055551509894005986,-0.02692901496946563,-0.26751323441031194,-0.17555538438716622,1.2837160407739538,0.763981383817121,0.0,1.0,1.215323230939396,1.1036533067796022
-0.05,-0.2765863337187866,1203,-0.053339916723190876,-0.025543132836430994,-0.28065246441636854,-0.18866641483429017,1.336741799209539,0.8176997485907865,0.0,1.0,1.204577188366014,1.1026301885156593
-0.05,-0.2765863337187866,1204,-0.05652712918859073,-0.031019539511708247,-0.27485141988168543,-0.18647423757910078,1.3240639773156015,0.8228707003413731,0.0,1.0,1.2204118865227915,1.145441847389884
-0.05,-0.2765863337187866,1205,-0.04599252568233814,-0.0292315051012572,-0.2818446996991027,-0.1778132239319647,1.3073093724280558,0.7795132872587246,0.0,1.0,1.2041730135987194,1.1267866594920002
0.0,0.3,1201,0.005326734188872754,-0.003614251066693358,0.30574421176516936,0.19337009311080094,1.204304229596058,0.7824542029516329,0.0,1.0,1.058114124743629,1.043482636680738
0.0,0.3,1202,-0.006516264378234678,-0.0007114376942943885,0.290530680920978,0.19030069399394856,1.1849764458334917,0.7627124069787591,0.0,1.0,1.0487107334451755,1.0358703441171637
0.0,0.3,1203,-0.0030193772091848905,-0.0031768401847971878,0.3052926988387442,0.1996700587892428,1.232710638393523,0.8061644968106277,0.0,1.0,1.0606448112385192,1.052314888560468
0.0,0.3,1204,-0.007233520857223168,-0.0009845667781129563,0.2982943112113679,0.19635832896935723,1.2197912968199724,0.7890147532800121,0.0,1.0,1.0413198510891581,1.0486361870327066
0.0,0.3,1205,0.004508199094813152,0.004128785316127026,0.30530503252640595,0.19847853149502837,1.204376798157315,0.7841638162885104,0.0,1.0,1.0780484716202503,1.042256908862076
0.1,0.3420526275297414,1201,0.1063362469431487,0.06546226461481501,0.3478256625063166,0.21886663834565515,1.0552736619659766,0.7325296517520239,0.0,1.0,1.317789971149023,1.2064488166137308
0.1,0.3420526275297414,1202,0.0919669897519243,0.05904107622594134,0.3322715104975566,0.2187039468750446,1.0413964412734982,0.7431271663683319,0.0,1.0,1.2851498323898023,1.1910504490726934
0.1,0.3420526275297414,1203,0.09765050554228662,0.06271559070619455,0.34938538505013955,0.230978310112046,1.0812054914663487,0.7780703000439213,0.0,1.0,1.3102040239299875,1.217964022085445
0.1,0.3420526275297414,1204,0.09167760027153272,0.06331769741436066,0.340457694372809,0.22513437564709107,1.0681711753298675,0.7580091682009287,0.0,1.0,1.275831107200128,1.212451222215182
0.1,0.3420526275297414,1205,0.10535084982306502,0.059918733270051185,0.34726204932343124,0.22250271832620552,1.0550454303229961,0.7539566676575333,0.0,1.0,1.3294516905146176,1.2001069370020967
0.2,0.3794733192202055,1201,0.20696433054666166,0.13263261341805488,0.3850438797197412,0.2485042101682996,0.950797516384466,0.7118969617344039,1.0,1.0,1.6201956602892313,1.3898960984584185
0.2,0.3794733192202055,1202,0.19104812132198812,0.1250500218606327,0.36978450099938454,0.2380773593940086,0.9399540219575797,0.6925988940639372,1.0,1.0,1.5817249484006524,1.3735490217878392
0.2,0.3794733192202055,1203,0.19839803237069098,0.12882868693731633,0.3884723903518963,0.25862333118279035,0.9742710372298489,0.7457200419370686,1.0,1.0,1.61027781455249,1.4145002736290815
0.2,0.3794733192202055,1204,0.19100617208832724,0.12693777805804748,0.37804868487028265,0.24716254654278547,0.9614250147685978,0.7157089346134264,1.0,1.0,1.5484343358482997,1.3857410102135566
0.2,0.3794733192202055,1205,0.20593045973685684,0.12730150740932333,0.38440067898418834,0.2514153110764196,0.9502852058641673,0.7274749271519488,1.0,1.0,1.5927948588215606,1.3802270609490952
0.3,0.4135214625627066,1201,0.30716942502512706,0.198407255084484,0.4188037792155662,0.2691035034814079,0.8721525794715952,0.67543271454395,1.0,1.0,1.932281012575318,1.585140771921604
0.3,0.4135214625627066,1202,0.29058477556819673,0.18998451549878814,0.4040950747939096,0.2610842731220937,0.8633338916108544,0.6655807547067363,1.0,1.0,1.8827902432517098,1.5559406523475028
0.3,0.4135214625627066,1203,0.29898333512177167,0.19255658413107915,0.4238062692720233,0.2862288910351898,0.8938550919664592,0.7257268967565763,1.0,1.0,1.9184783224426618,1.575278238235366
0.3,0.4135214625627066,1204,0.29067869057750295,0.18904153310825358,0.4123169736168599,0.2708222805885603,0.8810584195530384,0.6914830114342774,1.0,1.0,1.8724492917866373,1.5684316975386101
0.3,0.4135214625627066,1205,0.30600224394737746,0.18689359230933736,0.41806736153968677,0.27345749490468135,0.8716604469738682,0.7006192840789643,1.0,1.0,1.9534449225309172,1.5636495973436202
0.4,0.44497190922573976,1201,0.40704804636052994,0.26646748120740077,0.4498988062427774,0.2936207659156416,0.8103678536809509,0.6526189815666193,1.0,1.0,2.33219627497435,1.7830392955966898
0.4,0.44497190922573976,1202,0.3907100655148619,0.25815458914368394,0.435918470370715,0.2784265560566768,0.8029269865633288,0.627773217228196,1.0,1.0,2.2860521842097627,1.7556631202207957
0.4,0.44497190922573976,1203,0.39949299744930505,0.2689581475771437,0.4563621714624482,0.31241986635516206,0.8303595746962613,0.6915186169974769,1.0,1.0,2.3500926538022755,1.8217680049103522
0.4,0.44497190922573976,1204,0.3907813575866932,0.26133048530539776,0.44405538716461435,0.2950671664833098,0.8177721872571115,0.6611711623873608,1.0,1.0,2.26108338030552,1.7958406918532313
0.4,0.44497190922573976,1205,0.4060567301707585,0.2617606178907844,0.4491693681422244,0.298440839787276,0.8097230696110829,0.6686814380007685,1.0,1.0,2.33086168606357,1.7794553889926081
0.5,0.4743416490252569,1201,0.5040197106413079,0.3317790708548703,0.4830786618604023,0.32706805134402817,0.7691434365597358,0.6562876564288623,1.0,1.0,2.847859815518853,2.0562220265153712
0.5,0.4743416490252569,1202,0.49033786353377184,0.31980814044022005,0.46678229177344055,0.30058423007782525,0.7555969831921237,0.6135572494520783,1.0,1.0,2.750507755117085,1.9612517251811172
0.5,0.4743416490252569,1203,0.5082525747784001,0.35077245779438354,0.473092461646523,0.3239675291836558,0.7492978979627372,0.6311678092469629,1.0,1.0,2.9101033221395722,2.142889670938308
0.5,0.4743416490252569,1204,0.493666359136762,0.3283075665387966,0.47016835438345217,0.3199390486212473,0.7580466436715949,0.6447539579352736,1.0,1.0,2.824640846962105,2.0151089214848046
0.5,0.4743416490252569,1205,0.5116488546494203,0.3359948201507157,0.4678520287795042,0.3044340889210445,0.7384172632201889,0.6062793312613655,1.0,1.0,2.9458239879192654,2.0305069356279395
0.6,0.5019960159204453,1201,0.6024864722002028,0.4157294874675043,0.5135790753655944,0.3426405923585378,0.7318268893283454,0.6101370557708536,1.0,1.0,3.6708874650389194,2.420632822418176
0.6,0.5019960159204453,1202,0.5905444365042438,0.40227384424672313,0.4963862767506797,0.33126902058589774,0.7163710798394987,0.6003804212466397,1.0,1.0,3.508095859659834,2.3055031821614502
0.6,0.5019960159204453,1203,0.6074651354820405,0.4222661667917646,0.5000928062777311,0.3408581587730328,0.7087773015743986,0.6014777617767998,1.0,1.0,3.7342711057405387,2.412969692778322
0.6,0.5019960159204453,1204,0.5967469692913946,0.41722240770666835,0.4924296788492212,0.3214937334756376,0.7060263031463898,0.5713062226624444,1.0,1.0,3.6284921614270473,2.387997880221948
0.6,0.5019960159204453,1205,0.6027818908963132,0.41515538900043647,0.5125403713326904,0.3471090520112295,0.7299932081225764,0.6181410539300626,1.0,1.0,3.6245323565331624,2.3864911925509067
0.7,0.5282045058497702,1201,0.7021574446581013,0.49548913447579596,0.5401133963369864,0.3603999453549266,0.6955267962024688,0.5800151748755243,1.0,1.0,4.978220961364439,2.816915921419832
0.7,0.5282045058497702,1202,0.6921400926601854,0.4857012002430054,0.5231202687232192,0.3555169961238384,0.6800567776329689,0.5786596363717587,1.0,1.0,4.770873863129527,2.727040887962943
0.7,0.5282045058497702,1203,0.7061747070758382,0.5088934093546181,0.5257477138837783,0.36324647303091245,0.6744295431816514,0.5748560007323373,1.0,1.0,5.060351426593833,2.914418359483782
0.7,0.5282045058497702,1204,0.6971384646908865,0.501461042631197,0.5182622555150966,0.34092325253686884,0.6706835755214348,0.5446420973874222,1.0,1.0,4.914424720097794,2.83913632818061
0.7,0.5282045058497702,1205,0.7025923540229231,0.4931414215848984,0.5397681420273378,0.3608297871815136,0.6948097298628568,0.5820765626692235,1.0,1.0,4.970570948253833,2.7950443003403413
0.8,0.5531726674375732,1201,0.8016541182054931,0.5904154189320416,0.5653496292898894,0.3759569310594447,0.6641366336847576,0.5427464580900858,1.0,1.0,7.506518982851009,3.559009431392685
0.8,0.5531726674375732,1202,0.7942259841194511,0.5801214009579639,0.5486611386310214,0.3666668712633332,0.6488189307809298,0.5350002739994858,1.0,1.0,7.276663474226948,3.434221715139882
0.8,0.5531726674375732,1203,0.8045054091766984,0.5956263046480453,0.5501285938520042,0.378683114720776,0.6446040502090142,0.5433732739649738,1.0,1.0,7.581487517317033,3.5952197825560606
0.8,0.5531726674375732,1204,0.7978373159919689,0.5947013993235915,0.5429533213363821,0.3591080695395702,0.6400287819244665,0.5159823659169243,1.0,1.0,7.465555149184182,3.5911117505349126
0.8,0.5531726674375732,1205,0.8020487361569438,0.5902613519376536,0.5655978829614766,0.37349419907741765,0.6642616881008183,0.5390518510259907,1.0,1.0,7.60536498124926,3.619882785744955
