seed,protocol,protocol_label,split,rectifier,rectifier_quantile_low,rectifier_quantile_high,rectifier_snap,rectifier_sdfilter,raw_c,rect_c,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
2345,generic_probe,Generic probe,generic70,quantile,0.25,0.75,0.001,,0.1,0.1,0.640092879256966,0.6075851393188856,-0.0325077399380804,0.9558823529411764,0.8970588235294118,-0.0588235294117647,0.6842105263157895,0.7105263157894737,0.0263157894736841,8,13
2345,matched_split_cutlass,Split-matched cutlass,legacy67,quantile,0.25,0.75,0.001,,0.1,0.1,0.6057142857142859,0.6704761904761904,0.0647619047619045,0.9866666666666668,0.8133333333333334,-0.1733333333333333,0.6190476190476191,0.8571428571428571,0.238095238095238,9,12
2345,legacy_rectifier_bridge,Legacy rectifier bridge,legacy67,minmax,,,0.0,,0.1,0.1,0.6057142857142859,0.7142857142857144,0.1085714285714285,0.9866666666666668,1.0,0.0133333333333333,0.6190476190476191,0.7142857142857143,0.0952380952380952,9,5
2345,published_like_legacy,Published-like legacy,legacy67,minmax,,,0.0,,10.0,10.0,0.6952380952380952,0.9047619047619048,0.2095238095238094,0.9333333333333332,1.0,0.0666666666666666,0.7619047619047619,0.9047619047619048,0.1428571428571429,32,29
