protocol,protocol_label,mean_delta_j,median_delta_j,p05_delta_j,p95_delta_j,positive_fraction,mean_delta_tpr,mean_delta_tnr,mean_raw_j,mean_rect_j,mean_raw_nonzero,mean_rect_nonzero
generic_probe,Generic probe,0.005847101738037565,0.0116099071207431,-0.1261609907120744,0.1547987616099071,0.5643564356435643,-0.06945253348864294,0.07529963522668053,0.6448134751555652,0.6506605768936028,8.198019801980198,11.702970297029703
matched_split_cutlass,Split-matched cutlass,0.003130598774163097,0.0047619047619047,-0.1333333333333333,0.1400000000000001,0.504950495049505,-0.08079207920792075,0.08392267798208389,0.6392079207920792,0.6423385195662423,7.801980198019802,11.514851485148515
legacy_rectifier_bridge,Legacy rectifier bridge,0.066034889203206,0.0714285714285714,-0.0476190476190474,0.1799999999999999,0.8514851485148515,0.006864686468646854,0.05917020273455915,0.6392079207920792,0.7052428099952852,7.801980198019802,6.96039603960396
published_like_legacy,Published-like legacy,0.1482508250825082,0.1457142857142859,0.04,0.2485714285714284,1.0,0.00633663366336633,0.14191419141914188,0.6840829797265441,0.8323338048090524,31.405940594059405,26.0
