c_value,log10_c,mean_delta_j,std_delta_j,median_delta_j,p05_delta_j,p95_delta_j,positive_fraction,mean_delta_tpr,mean_delta_tnr,mean_raw_nonzero,mean_rect_nonzero,seed_2345_delta_j
0.0105217618684511,-1.9779115315055904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0120875414730569,-1.9176620228167904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0126379463380828,-1.8983234930236192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0137263188980458,-1.8624459155391264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0151673306880762,-1.819090844357848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0153391625911636,-1.814198349120009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.009900990099009901,0.0
0.0170739674315281,-1.7676655513272022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415841584158416,0.45544554455445546,0.0
0.0179569842256776,-1.7457665988559057,-0.00023573785950023465,0.0023691361671666295,0.0,0.0,0.0,0.0,0.0,-0.00023573785950023566,1.3366336633663367,0.7722772277227723,0.0
0.0182056576584072,-1.739793628058882,-0.000707213578500704,0.004062222318511919,0.0,0.0,0.0,0.0,0.0,-0.0007072135785007069,1.495049504950495,0.9207920792079208,0.0
0.0197778285124627,-1.7038213930636386,-0.02498821310702497,0.050549838188257167,0.0,-0.0714285714285714,0.0,0.009900990099009901,0.0,-0.024988213107024978,2.257425742574257,1.1683168316831682,0.0
0.0198702153854286,-1.7017974252809167,-0.02569542668552568,0.05136274097100718,0.0,-0.0952380952380953,0.0,0.009900990099009901,0.0,-0.025695426685525682,2.297029702970297,1.188118811881188,0.0
0.0225927974201569,-1.646029991792322,0.14188590287600186,0.19820619512493828,0.1904761904761904,-0.2142857142857142,0.4047619047619046,0.7326732673267327,-0.0035643564356435567,0.14545025931164543,2.98019801980198,1.4356435643564356,0.3809523809523809
0.02458603276328,-1.6093115439744643,0.20001885902876004,0.09820982490976968,0.2142857142857142,0.0238095238095239,0.3304761904761906,0.9702970297029703,-0.005544554455445533,0.20556341348420554,3.1485148514851486,1.6336633663366336,0.3095238095238095
0.027012557725439,-1.5684342920267822,0.1421027817067421,0.10827916526091108,0.1533333333333335,-0.0238095238095237,0.2828571428571429,0.900990099009901,-0.0059405940594059285,0.148043375766148,3.217821782178218,1.891089108910891,0.142857142857143
0.0290720889065984,-1.5365237618994811,0.11216407355021216,0.0953499230309427,0.119047619047619,-0.0714285714285714,0.2485714285714284,0.8415841584158416,-0.0059405940594059285,0.11810466760961807,3.3366336633663365,2.01980198019802,0.142857142857143
0.0300868682144584,-1.5216230162467932,0.0986232909005186,0.10174384047589823,0.0952380952380953,-0.0714285714285714,0.2485714285714284,0.7920792079207921,-0.005808580858085797,0.10443187175860441,3.386138613861386,2.0495049504950495,0.142857142857143
0.0307718027125068,-1.5118470606208847,0.08942951438000943,0.09921410046726349,0.0952380952380951,-0.0714285714285714,0.2485714285714284,0.7821782178217822,-0.005808580858085797,0.09523809523809522,3.4356435643564356,2.0792079207920793,0.142857142857143
0.0361389427121652,-1.4420245573918329,0.023564356435643558,0.08219788671170462,0.0076190476190474,-0.0742857142857142,0.1904761904761904,0.504950495049505,-0.00448844884488448,0.028052805280528056,3.633663366336634,2.287128712871287,0.0
