c_value,log10_c,cv_mean_j,cv_std_j,cv_p10_j,cv_p90_j,cv_fold_count
0.010521761868451128,-1.9779115315055904,0.0,0.0,0.0,0.0,10
0.012087541473056955,-1.9176620228167902,0.0,0.0,0.0,0.0,10
0.01263794633808287,-1.8983234930236192,0.0,0.0,0.0,0.0,10
0.013726318898045865,-1.8624459155391264,0.0,0.0,0.0,0.0,10
0.0151673306880762,-1.8190908443578477,0.0,0.0,0.0,0.0,10
0.015339162591163618,-1.814198349120009,0.0,0.0,0.0,0.0,10
0.017073967431528118,-1.7676655513272022,0.3441724941724942,0.19606806722618178,0.07499999999999993,0.5429487179487178,10
0.017956984225677628,-1.7457665988559055,0.42878787878787883,0.21289463270942027,0.2160256410256411,0.6096153846153847,10
0.018205657658407252,-1.739793628058882,0.42878787878787883,0.21289463270942027,0.2160256410256411,0.6096153846153847,10
0.019777828512462715,-1.7038213930636386,0.4787878787878788,0.17871845526593097,0.24807692307692308,0.6096153846153847,10
0.01987021538542862,-1.7017974252809167,0.4787878787878788,0.17871845526593097,0.24807692307692308,0.6096153846153847,10
0.022592797420156945,-1.646029991792322,0.5287878787878788,0.17753706889482304,0.3692307692307692,0.7596153846153846,10
0.024586032763280048,-1.6093115439744645,0.5287878787878788,0.17753706889482304,0.3692307692307692,0.7596153846153846,10
0.027012557725439066,-1.5684342920267822,0.5287878787878788,0.17753706889482304,0.3692307692307692,0.7596153846153846,10
0.029072088906598435,-1.5365237618994811,0.5371212121212122,0.1905528169285278,0.3692307692307692,0.8346153846153848,10
0.030086868214458433,-1.5216230162467932,0.5371212121212122,0.1905528169285278,0.3692307692307692,0.8346153846153848,10
0.030771802712506853,-1.5118470606208847,0.5537878787878788,0.20198939046907435,0.3692307692307692,0.8346153846153848,10
0.036138942712165265,-1.4420245573918327,0.6018648018648018,0.19683628197827263,0.3692307692307692,0.8346153846153848,10
0.03661819220392428,-1.4363031001009494,0.6018648018648018,0.19683628197827263,0.3692307692307692,0.8346153846153848,10
0.04207053950287936,-1.3760219186551894,0.6249417249417248,0.16634083192722726,0.4744755244755244,0.8346153846153848,10
0.04207988669606635,-1.375925438230254,0.6249417249417248,0.16634083192722726,0.4744755244755244,0.8346153846153848,10
0.04809461967501572,-1.3179035052508339,0.6486596736596737,0.1697047453078541,0.5153846153846152,0.8346153846153848,10
0.05337032762603955,-1.2727001311715975,0.6369691902300598,0.17016840123222962,0.4776223776223778,0.7954849498327758,10
0.05415244119402536,-1.2663819605862647,0.6369691902300598,0.17016840123222962,0.4776223776223778,0.7954849498327758,10
0.05488047000766042,-1.2605821778978918,0.6369691902300598,0.17016840123222962,0.4776223776223778,0.7954849498327758,10
0.060803901902965994,-1.2160685503234192,0.669020472281342,0.16597518419520751,0.48531468531468547,0.8346153846153848,10
0.06235377135673155,-1.2051372738633104,0.6773538056146752,0.16326483805054273,0.48531468531468547,0.8346153846153848,10
0.06290644294586147,-1.201304871366561,0.6773538056146752,0.16326483805054273,0.48531468531468547,0.8346153846153848,10
0.07068974950624601,-1.1506435572868954,0.685046113306983,0.14914103307729856,0.4930069930069932,0.8346153846153848,10
0.10842262717330158,-0.9648800735999323,0.7632512415121111,0.11656107336174194,0.6034965034965035,0.8461538461538463,10
0.12172958098369964,-0.9146038729044164,0.7792768825377522,0.13208008615101377,0.6034965034965035,0.9173076923076922,10
0.1329652145729951,-0.876261961250477,0.7749290564507956,0.13081246318961293,0.6034965034965035,0.9173076923076922,10
0.14618962793704957,-0.8350834392078323,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.14742753159914665,-0.8314214058591274,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.16480446427978968,-0.7830310281618491,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.16536937182824418,-0.7815449233065173,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
