seed,quantile_id,quantile_label,split,raw_c,rect_c,quantile_low,quantile_high,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
0,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.637142857142857,0.6657142857142857,0.028571428571428692,0.9466666666666667,0.88,-0.06666666666666665,0.6904761904761905,0.7857142857142857,0.09523809523809523,6,8
0,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.637142857142857,0.5895238095238096,-0.04761904761904745,0.9466666666666667,0.9466666666666667,0.0,0.6904761904761905,0.6428571428571429,-0.04761904761904756,6,12
0,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.637142857142857,0.716190476190476,0.07904761904761903,0.9466666666666667,0.9066666666666666,-0.040000000000000036,0.6904761904761905,0.8095238095238095,0.11904761904761907,6,12
0,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.637142857142857,0.5923809523809525,-0.04476190476190456,0.9466666666666667,0.9733333333333334,0.026666666666666727,0.6904761904761905,0.6190476190476191,-0.0714285714285714,6,12
0,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.637142857142857,0.4704761904761905,-0.16666666666666652,0.9466666666666667,0.9466666666666667,0.0,0.6904761904761905,0.5238095238095238,-0.16666666666666663,6,13
1,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6533333333333333,0.7190476190476192,0.06571428571428584,0.9866666666666667,0.9333333333333333,-0.053333333333333344,0.6666666666666666,0.7857142857142857,0.11904761904761907,8,10
1,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6533333333333333,0.562857142857143,-0.09047619047619038,0.9866666666666667,0.92,-0.06666666666666665,0.6666666666666666,0.6428571428571429,-0.023809523809523725,8,10
1,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6533333333333333,0.7533333333333334,0.10000000000000009,0.9866666666666667,0.92,-0.06666666666666665,0.6666666666666666,0.8333333333333334,0.16666666666666674,8,10
1,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6533333333333333,0.562857142857143,-0.09047619047619038,0.9866666666666667,0.92,-0.06666666666666665,0.6666666666666666,0.6428571428571429,-0.023809523809523725,8,13
1,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6533333333333333,0.2857142857142856,-0.36761904761904773,0.9866666666666667,1.0,0.013333333333333308,0.6666666666666666,0.2857142857142857,-0.38095238095238093,8,11
2,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6476190476190475,0.6790476190476191,0.03142857142857158,0.9333333333333333,0.8933333333333333,-0.040000000000000036,0.7142857142857143,0.7857142857142857,0.0714285714285714,8,11
2,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6476190476190475,0.6971428571428571,0.049523809523809526,0.9333333333333333,0.84,-0.09333333333333338,0.7142857142857143,0.8571428571428571,0.1428571428571428,8,11
2,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6476190476190475,0.5485714285714285,-0.09904761904761905,0.9333333333333333,0.7866666666666666,-0.14666666666666672,0.7142857142857143,0.7619047619047619,0.04761904761904756,8,13
2,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6476190476190475,0.44571428571428573,-0.2019047619047618,0.9333333333333333,0.8266666666666667,-0.10666666666666669,0.7142857142857143,0.6190476190476191,-0.09523809523809523,8,10
2,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6476190476190475,0.4228571428571428,-0.22476190476190472,0.9333333333333333,0.9466666666666667,0.013333333333333308,0.7142857142857143,0.47619047619047616,-0.23809523809523814,8,13
3,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6533333333333333,0.6847619047619049,0.03142857142857158,0.9866666666666667,0.9466666666666667,-0.040000000000000036,0.6666666666666666,0.7380952380952381,0.07142857142857151,8,10
3,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6533333333333333,0.7219047619047618,0.0685714285714285,0.9866666666666667,0.96,-0.026666666666666727,0.6666666666666666,0.7619047619047619,0.09523809523809523,8,13
3,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6533333333333333,0.6580952380952381,0.004761904761904745,0.9866666666666667,0.92,-0.06666666666666665,0.6666666666666666,0.7380952380952381,0.07142857142857151,8,11
3,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6533333333333333,0.6257142857142857,-0.027619047619047654,0.9866666666666667,0.84,-0.14666666666666672,0.6666666666666666,0.7857142857142857,0.11904761904761907,8,15
3,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6533333333333333,0.4733333333333334,-0.17999999999999994,0.9866666666666667,0.9733333333333334,-0.013333333333333308,0.6666666666666666,0.5,-0.16666666666666663,8,14
