domain,dataset_family,sample_train,sample_test,raw_auc,rectified_auc,delta_auc,raw_j,rectified_j,delta_j,raw_tpr,rectified_tpr,raw_tnr,rectified_tnr,raw_nonzero,rectified_nonzero,raw_runtime,rectified_runtime
HAI attack_p2 (a1),HAI,2552,1080,0.9492283950617284,0.9894907407407408,0.040262345679012435,0.574074074074074,0.9296296296296296,0.3555555555555556,0.9611111111111112,0.95,0.6129629629629629,0.9796296296296296,26,57,37.460282500018366,0.6451967000029981
HAI attack_p1p2 (a2),HAI,2438,5638,0.999955327711504,0.999312990537906,-0.0006423371735979622,0.8740688187300463,0.989003192621497,0.11493437389145078,1.0,0.9914863426747074,0.8740688187300462,0.9975168499467896,50,47,22.121752900013234,24.261716500041075
HAI attack_p3 (a3),HAI,1158,182,0.5515034416133318,0.730406955681681,0.17890351406834926,-0.0659340659340659,-0.0659340659340659,0.0,0.2307692307692307,0.0109890109890109,0.7032967032967034,0.9230769230769232,57,41,11.642162000003736,0.3114651999785565
HAI attack_p1p3 (a4),HAI,1236,724,0.9407298312017338,0.9281271939195996,-0.012602637282134177,0.7651933701657458,0.7127071823204421,-0.05248618784530379,0.8425414364640884,0.856353591160221,0.9226519337016574,0.856353591160221,27,51,5.428328399953898,0.4799756000284105
Ionosphere radar,Radar,245,106,0.9593653250773994,0.9195046439628484,-0.03986068111455099,0.7747678018575852,0.7159442724458205,-0.05882352941176472,0.9852941176470588,0.9264705882352942,0.7894736842105263,0.7894736842105263,9,10,0.0077751000062562,0.0093755000270903
