view,method,method_label,tpr_test,tnr_test,j_test,auc_test,source,notes
Published 2022 Goose Bay reference,rectified_l1,Rectified L1,0.973,0.881,0.8540000000000001,,orender2022 paper,"Original LLE R pipeline, 67/33 class-stratified split, rseed=2345"
Published 2022 Goose Bay reference,raw_l1,Raw L1,0.933,0.762,0.6950000000000001,,orender2022 paper,"Original LLE R pipeline, 67/33 class-stratified split, rseed=2345"
Generic transfer probe,raw_l1,Raw L1,0.9852941176470588,0.7894736842105263,0.7747678018575852,0.9593653250773994,cross_domain.ipynb standardized protocol,"70/30 stratified split, random_state=42, fixed-C cutlass sparse logistic"
Generic transfer probe,rectified_l1,Rectified L1,0.9264705882352942,0.7894736842105263,0.7159442724458205,0.9195046439628484,cross_domain.ipynb standardized protocol,"70/30 stratified split, random_state=42, fixed-C cutlass sparse logistic"
