H,n_features,t_generate,t_rectify,t_raw_fit,t_rectified_fit
10,440,0.4531161999912001,0.014559999981429428,2.240656200039666,1.1927242999663576
15,640,0.5642550999764353,0.022082699986640364,2.948499400052242,1.648544600000605
20,840,0.5271236000116915,0.03392129996791482,4.350901099969633,2.3018052999977954
