method,auc_test_mean,auc_test_std,ap_test_mean,ap_test_std,j_test_mean,j_test_std,total_seconds_mean,total_seconds_std,fit_seconds_mean,fit_seconds_std,features_used_mean,features_used_std,components_mean,components_std,primitive_conditions_mean,primitive_conditions_std,adopted_rate,method_label
cutlass_sparse,0.9975569602024148,0.002205870915359452,0.9935347834694737,0.0058645601628814666,0.9705532060560356,0.018896070113116732,24.93959409999661,2.222809281334817,24.913182533346117,2.223752145985823,190.0,117.79643458101778,190.0,117.79643458101778,190.0,117.79643458101778,,CUTLASS sparse
cutlass_logic,0.9937483793885252,0.0034033968165241334,0.9831724877053748,0.011902514976649825,0.9743991016227835,0.01543373825493149,24.959722233315308,2.2252647231485296,24.933310666664813,2.226209368368294,6.0,3.4641016151377544,1.0,0.0,6.0,3.4641016151377544,,CUTLASS logic-polished
rulefit,0.9744141701707848,0.026349035979997472,0.9553153609321959,0.0353481120781006,0.803294659753201,0.1124837295848646,2.3581725666299462,0.331794237960901,2.314309233256305,0.33088490166348866,28.666666666666668,7.637626158259733,20.0,0.0,51.333333333333336,7.76745346515403,,RuleFit
greedy_rulelist,0.7850276360160211,0.054289520903547626,0.48376487411718133,0.11090874731935949,0.09203924869802793,0.06725221791590257,0.16451736663778624,0.040353679898360216,0.160170799974973,0.04008463405135929,4.666666666666667,0.5773502691896258,4.666666666666667,0.5773502691896258,4.666666666666667,0.5773502691896258,,Greedy rule list
ebm,0.9999280213056935,0.0001246707556012652,0.9997641206285021,0.00040855505589176247,0.9874119185294065,0.004417760597098005,68.68191986678478,11.937223519350852,68.64126473347035,11.942200939725124,440.0,0.0,440.0,0.0,440.0,0.0,,EBM
