stage,subsystem,nonzero_features,abs_weight,share_of_abs_weight
raw baseline,P1,23,2.8767605096240514,0.8058696358029128
raw baseline,P2,3,0.692998644730792,0.1941303641970873
rectified pilot,P2,28,2.7966798228706926,0.5991092005773396
rectified pilot,P4,10,1.0179084664202533,0.21805797095212934
rectified pilot,P1,19,0.8534752626886168,0.18283282847053092
