stage,auc,j,tpr,tnr,nonzero_total,threshold,fit_nonzero_total,rectified_features,fit_features
raw baseline,0.9492283950617283,0.574074074074074,0.9611111111111111,0.6129629629629629,26,0.5,,,
rectified pilot,0.9894907407407407,0.9296296296296296,0.95,0.9796296296296296,57,0.5,39.0,590.0,459.0
